city,n_raw,n_recovered,n_dropped_feats,n_aqi_derived_removed,track_a_feats,track_b_feats,same_t_polls,met_cols,time_cols,status
Ahmedabad,28236,28236,28,26,33,69,11,4,12,RECOVERED
Chennai,44117,44117,27,26,34,70,11,5,12,RECOVERED
Delhi_NCR,77704,77704,26,26,35,71,11,6,12,RECOVERED
GandhiNagar,58632,58632,28,26,33,69,11,4,12,RECOVERED
Hyderabad,109993,109993,26,26,35,71,11,6,12,RECOVERED
Indore,43635,43635,28,26,33,71,9,6,12,RECOVERED
Jaipur,42322,42322,27,26,34,70,11,5,12,RECOVERED
Jodhpur,43329,43329,27,26,34,70,11,5,12,RECOVERED
Mumbai,54405,54405,27,26,34,71,10,6,12,RECOVERED
Mumbai_suburbs,21625,21625,27,26,34,70,11,5,12,RECOVERED
Nagpur,80700,80700,28,26,33,69,11,4,12,RECOVERED
Pune,70466,70466,35,26,33,63,10,5,12,RECOVERED
Singrauli,69506,69506,38,26,23,65,8,0,12,RECOVERED
Surat,26147,26147,44,26,31,57,7,6,12,RECOVERED
Thane,20521,20521,27,26,34,70,11,5,12,RECOVERED
Vapi,58285,58285,29,26,32,69,10,4,12,RECOVERED
bhopal,43515,43515,28,26,33,71,9,6,12,RECOVERED
vishakhapattanam,34614,34614,26,26,35,71,11,6,12,RECOVERED
