city,n_cleaned,n_engineered,n_aqi_nonnull,n_tracka_strict,n_recoverable,recoverable,miss_same_t,miss_met,miss_time,miss_inter,reason
Ahmedabad,28238,28236,28236,0,28189,True,0.14,0.4539,0.0,0.0602,DROPNA_ELIMINATES_ALL (strict n=0)
Chennai,44146,44117,44117,0,44067,True,0.0385,0.2076,0.0,0.0347,DROPNA_ELIMINATES_ALL (strict n=0)
Delhi_NCR,77866,77704,77704,17322,77680,True,0.2397,0.7582,0.0,0.3746,OK
GandhiNagar,58633,58632,58632,0,58605,True,0.0136,0.3459,0.0,0.014,DROPNA_ELIMINATES_ALL (strict n=0)
Hyderabad,109997,109993,109993,66711,109943,True,0.0941,0.0647,0.0,0.1085,OK
Indore,43636,43635,43635,0,43631,True,0.1869,0.0709,0.0,0.0098,DROPNA_ELIMINATES_ALL (strict n=0)
Jaipur,42323,42322,42322,432,42321,True,0.0062,0.1726,0.0,0.0126,DROPNA_ELIMINATES_ALL (strict n=432)
Jodhpur,43330,43329,43329,0,43329,True,0.0799,0.2139,0.0,0.0069,DROPNA_ELIMINATES_ALL (strict n=0)
Mumbai,54406,54405,54405,0,54405,True,0.1393,0.1341,0.0,0.0692,DROPNA_ELIMINATES_ALL (strict n=0)
Mumbai_suburbs,21626,21625,21625,0,21581,True,0.0068,0.167,0.0,0.0058,DROPNA_ELIMINATES_ALL (strict n=0)
Nagpur,81502,80700,80700,0,80211,True,0.0372,0.3609,0.0,0.0301,DROPNA_ELIMINATES_ALL (strict n=0)
Pune,75937,70466,70466,0,69869,True,0.1632,0.4371,0.0,0.0532,DROPNA_ELIMINATES_ALL (strict n=0)
Singrauli,69530,69506,69506,0,69503,True,0.2855,1.0,0.0,0.5145,DROPNA_ELIMINATES_ALL (strict n=0)
Surat,26666,26147,26147,0,26057,True,0.3717,0.0079,0.0,0.0189,DROPNA_ELIMINATES_ALL (strict n=0)
Thane,20522,20521,20521,0,20521,True,0.0083,0.1707,0.0,0.0089,DROPNA_ELIMINATES_ALL (strict n=0)
Vapi,58286,58285,58285,0,58285,True,0.194,0.3547,0.0,0.2089,DROPNA_ELIMINATES_ALL (strict n=0)
bhopal,43516,43515,43515,0,43508,True,0.1893,0.0004,0.0,0.0084,DROPNA_ELIMINATES_ALL (strict n=0)
vishakhapattanam,34615,34614,34614,33336,34597,True,0.0045,0.0034,0.0,0.0071,OK
