city,experiment,n_train,n_test,n_feats,r2,mae,rmse
Ahmedabad,Exp-A_sameT,19765,4236,33,0.9206,8.36,21.938
Ahmedabad,Exp-B_metOnly,19765,4236,16,0.1858,51.214,70.262
Ahmedabad,Exp-C_lags,19765,4236,69,0.6816,26.471,43.938
Chennai,Exp-A_sameT,30881,6619,34,0.9996,0.208,0.717
Chennai,Exp-B_metOnly,30881,6619,17,-0.1099,20.935,36.403
Chennai,Exp-C_lags,30881,6619,70,0.837,6.181,13.95
Delhi_NCR,Exp-A_sameT,54392,11657,35,0.9993,0.453,3.292
Delhi_NCR,Exp-B_metOnly,54392,11657,18,0.4479,68.655,93.467
Delhi_NCR,Exp-C_lags,54392,11657,71,0.9455,19.14,29.365
GandhiNagar,Exp-A_sameT,41042,8796,33,0.9982,0.349,1.755
GandhiNagar,Exp-B_metOnly,41042,8796,16,0.0775,30.007,39.867
GandhiNagar,Exp-C_lags,41042,8796,69,0.8227,10.136,17.479
Hyderabad,Exp-A_sameT,76995,16500,35,0.9639,1.261,7.177
Hyderabad,Exp-B_metOnly,76995,16500,18,-0.1984,32.189,41.327
Hyderabad,Exp-C_lags,76995,16500,71,0.7606,11.773,18.471
Indore,Exp-A_sameT,30544,6546,33,0.9962,0.973,4.294
Indore,Exp-B_metOnly,30544,6546,18,0.4915,32.277,49.875
Indore,Exp-C_lags,30544,6546,71,0.9141,12.186,20.494
Jaipur,Exp-A_sameT,29625,6349,34,0.957,2.934,12.751
Jaipur,Exp-B_metOnly,29625,6349,17,-0.581,55.538,77.31
Jaipur,Exp-C_lags,29625,6349,70,0.6752,24.201,35.041
Jodhpur,Exp-A_sameT,30330,6500,34,0.9984,0.554,3.617
Jodhpur,Exp-B_metOnly,30330,6500,17,-0.007,69.651,91.227
Jodhpur,Exp-C_lags,30330,6500,70,0.6011,40.71,57.414
Mumbai,Exp-A_sameT,38083,8162,34,0.9857,2.903,7.421
Mumbai,Exp-B_metOnly,38083,8162,18,-2.916,100.192,122.608
Mumbai,Exp-C_lags,38083,8162,71,0.7075,17.744,33.509
Mumbai_suburbs,Exp-A_sameT,15137,3245,34,0.9949,0.654,3.497
Mumbai_suburbs,Exp-B_metOnly,15137,3245,17,-1.3888,53.596,75.352
Mumbai_suburbs,Exp-C_lags,15137,3245,70,0.8961,8.463,15.717
Nagpur,Exp-A_sameT,56490,12105,33,0.9981,0.336,2.873
Nagpur,Exp-B_metOnly,56490,12105,16,0.3452,39.413,53.169
Nagpur,Exp-C_lags,56490,12105,69,0.9312,10.932,17.232
Pune,Exp-A_sameT,49326,10571,33,0.9923,2.464,7.222
Pune,Exp-B_metOnly,49326,10571,17,-0.2161,65.487,90.684
Pune,Exp-C_lags,49326,10571,63,0.3812,42.277,64.687
Singrauli,Exp-A_sameT,48654,10427,23,0.9992,0.604,3.088
Singrauli,Exp-B_metOnly,48654,10427,12,-0.1506,82.928,115.645
Singrauli,Exp-C_lags,48654,10427,65,0.8368,27.725,43.547
Surat,Exp-A_sameT,18302,3923,31,0.9938,1.968,7.032
Surat,Exp-B_metOnly,18302,3923,18,-1.3592,103.4,137.188
Surat,Exp-C_lags,18302,3923,57,0.5415,32.907,60.476
Thane,Exp-A_sameT,14364,3079,34,0.9977,0.568,2.288
Thane,Exp-B_metOnly,14364,3079,17,-0.272,36.98,53.861
Thane,Exp-C_lags,14364,3079,70,0.9225,7.307,13.294
Vapi,Exp-A_sameT,40799,8744,32,0.9942,2.439,5.866
Vapi,Exp-B_metOnly,40799,8744,16,-0.5814,74.031,96.453
Vapi,Exp-C_lags,40799,8744,69,0.6478,28.454,45.517
bhopal,Exp-A_sameT,30460,6528,33,0.9859,1.915,9.335
bhopal,Exp-B_metOnly,30460,6528,18,0.4698,37.908,57.282
bhopal,Exp-C_lags,30460,6528,71,0.9067,14.128,24.031
vishakhapattanam,Exp-A_sameT,24229,5193,35,0.9962,1.05,5.264
vishakhapattanam,Exp-B_metOnly,24229,5193,18,0.3057,47.38,71.259
vishakhapattanam,Exp-C_lags,24229,5193,71,0.8729,17.767,30.493
