model,track,avg_r2,delta_r2_vs_best,pct_improvement,delta_mae_vs_best,rank
GradBoost,A,0.9906,0.0,0.0,0.0,1
RandomForest,A,0.9874,0.0031999999999999806,0.3240834514887564,-1.3021999999999998,2
XGBoost,A,0.9856,0.0050000000000000044,0.5073051948051952,-0.11439999999999984,3
Ridge,A,0.8304,0.1602,19.291907514450866,15.7472,4
LSTM,A,0.6411,0.34950000000000003,54.515676181562945,24.0922,5
BiLSTM,A,0.5897,0.40090000000000003,67.9837205358657,24.6233,6
CNN-BiLSTM,A,0.2756,0.7150000000000001,259.433962264151,39.3033,7
GradBoost,B,0.4997,0.0,0.0,0.0,1
RandomForest,B,0.4914,0.008299999999999974,1.6890516890516838,1.5848999999999975,2
XGBoost,B,0.4902,0.009499999999999953,1.9379844961240213,0.39929999999999666,3
BiLSTM,B,0.2831,0.21659999999999996,76.51006711409394,6.500399999999999,4
LSTM,B,0.2768,0.2229,80.52745664739885,6.5015,5
CNN-BiLSTM,B,-0.4147,0.9144,220.49674463467565,15.6421,6
