city,r2,mae,rmse,lstm_r2,difficulty_score
Jodhpur,0.9987,1.6,3.24,-0.1041,0.12999999999999678
Delhi_NCR,0.9986,2.57,4.68,0.915,0.13999999999999568
GandhiNagar,0.9982,0.96,1.75,0.7744,0.18000000000000238
Singrauli,0.9981,2.49,4.65,0.8246,0.19000000000000128
vishakhapattanam,0.9974,1.71,4.34,0.8534,0.26000000000000467
Thane,0.9973,1.23,2.47,0.7235,0.27000000000000357
Surat,0.9962,3.51,5.5,0.635,0.38000000000000256
Nagpur,0.9959,2.59,4.19,0.867,0.40999999999999925
Indore,0.9954,2.58,4.75,0.8826,0.46000000000000485
Chennai,0.995,1.79,2.44,0.5471,0.5000000000000004
Mumbai_suburbs,0.9938,1.45,3.83,0.7622,0.6199999999999983
bhopal,0.9915,2.39,7.24,0.803,0.8499999999999952
Vapi,0.9899,5.22,7.7,0.5393,1.0099999999999998
Pune,0.9864,5.87,9.6,-0.3061,1.3599999999999945
Mumbai,0.986,4.31,7.34,0.7314,1.4000000000000012
Jaipur,0.9743,4.15,9.85,0.7009,2.5699999999999945
Ahmedabad,0.9696,5.23,13.57,0.8221,3.0399999999999983
Hyderabad,0.969,3.36,6.65,0.5692,3.1000000000000028
