city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s,train_rows,n_features,epochs,status,n_rows
Jodhpur,GradBoost,A,30330.0,6500.0,33.0,0.9987,1.6,3.24,52.19,0.0194,,,,,
Delhi_NCR,GradBoost,A,54392.0,11657.0,34.0,0.9986,2.57,4.68,61.86,0.0258,,,,,
GandhiNagar,GradBoost,A,41042.0,8796.0,32.0,0.9982,0.96,1.75,71.31,0.0183,,,,,
Singrauli,GradBoost,A,48654.0,10427.0,22.0,0.9981,2.49,4.65,42.3,0.0245,,,,,
vishakhapattanam,GradBoost,A,24229.0,5193.0,34.0,0.9974,1.71,4.34,36.65,0.0121,,,,,
Thane,GradBoost,A,14364.0,3079.0,33.0,0.9973,1.23,2.47,24.71,0.0066,,,,,
Surat,GradBoost,A,18302.0,3923.0,30.0,0.9962,3.51,5.5,26.12,0.0093,,,,,
Nagpur,GradBoost,A,56490.0,12105.0,32.0,0.9959,2.59,4.19,98.55,0.026,,,,,
Indore,GradBoost,A,30544.0,6546.0,32.0,0.9954,2.58,4.75,43.48,0.0137,,,,,
Chennai,GradBoost,A,30881.0,6619.0,33.0,0.995,1.79,2.44,50.52,0.0124,,,,,
Mumbai_suburbs,GradBoost,A,15137.0,3245.0,33.0,0.9938,1.45,3.83,26.18,0.0069,,,,,
bhopal,GradBoost,A,30460.0,6528.0,32.0,0.9915,2.39,7.24,42.88,0.0146,,,,,
Vapi,GradBoost,A,40799.0,8744.0,31.0,0.9899,5.22,7.7,53.75,0.0182,,,,,
Pune,GradBoost,A,49326.0,10571.0,32.0,0.9864,5.87,9.6,76.48,0.0201,,,,,
Mumbai,GradBoost,A,38083.0,8162.0,33.0,0.986,4.31,7.34,64.08,0.0149,,,,,
Jaipur,GradBoost,A,29625.0,6349.0,33.0,0.9743,4.15,9.85,53.31,0.0149,,,,,
Ahmedabad,GradBoost,A,19765.0,4236.0,32.0,0.9696,5.23,13.57,29.72,0.0098,,,,,
Hyderabad,GradBoost,A,76995.0,16500.0,34.0,0.969,3.36,6.65,118.25,0.0363,,,,,
