city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,CNN-BiLSTM,B,19740,4212,70,0.6029,32.09,49.14,30.0,0.984
Ahmedabad,6,CNN-BiLSTM,B,19737,4211,70,0.5836,34.0,50.33,31.7,0.932
Ahmedabad,24,CNN-BiLSTM,B,19724,4209,70,0.4388,39.03,58.44,25.5,0.957
Chennai,1,CNN-BiLSTM,B,30857,6594,71,0.373,15.74,27.38,69.8,1.194
Chennai,6,CNN-BiLSTM,B,30853,6594,71,0.1411,18.63,32.05,39.2,1.245
Chennai,24,CNN-BiLSTM,B,30841,6591,71,0.046,17.42,33.78,40.9,1.191
Delhi_NCR,1,CNN-BiLSTM,B,54368,11632,72,0.8603,33.61,47.01,86.0,1.702
Delhi_NCR,6,CNN-BiLSTM,B,54364,11632,72,0.7784,43.87,59.2,96.1,1.67
Delhi_NCR,24,CNN-BiLSTM,B,54352,11628,72,0.7084,49.78,67.91,61.1,1.688
GandhiNagar,1,CNN-BiLSTM,B,41017,8772,70,0.5648,17.67,27.4,80.7,1.402
GandhiNagar,6,CNN-BiLSTM,B,41014,8771,70,0.3628,22.91,33.15,75.3,1.409
GandhiNagar,24,CNN-BiLSTM,B,41001,8768,70,0.308,24.47,34.55,48.9,1.172
Hyderabad,1,CNN-BiLSTM,B,76970,16476,72,0.4755,20.53,27.3,136.9,2.247
Hyderabad,6,CNN-BiLSTM,B,76966,16475,72,0.4551,21.22,27.83,158.4,2.189
Hyderabad,24,CNN-BiLSTM,B,76954,16472,72,0.3635,23.25,30.08,143.1,2.204
Indore,1,CNN-BiLSTM,B,30519,6522,72,0.6718,24.71,40.11,59.3,1.19
Indore,6,CNN-BiLSTM,B,30516,6521,72,0.5338,28.71,47.82,45.8,1.222
Indore,24,CNN-BiLSTM,B,30503,6519,72,0.5145,31.26,48.8,57.2,1.213
Jaipur,1,CNN-BiLSTM,B,29600,6325,71,0.4348,30.73,46.3,78.5,1.189
Jaipur,6,CNN-BiLSTM,B,29597,6324,71,0.2912,32.9,51.86,46.8,1.215
Jaipur,24,CNN-BiLSTM,B,29584,6322,71,0.1298,38.78,57.46,41.7,1.213
Jodhpur,1,CNN-BiLSTM,B,30305,6476,71,-1.276,102.94,137.24,52.7,1.21
Jodhpur,6,CNN-BiLSTM,B,30302,6475,71,-19.1984,355.85,408.75,40.9,1.218
Jodhpur,24,CNN-BiLSTM,B,30289,6473,71,-1.9629,127.84,156.45,40.8,1.178
Mumbai,1,CNN-BiLSTM,B,38058,8138,72,0.4846,26.98,44.54,72.2,1.372
Mumbai,6,CNN-BiLSTM,B,38055,8137,72,0.3195,28.56,51.18,51.5,1.355
Mumbai,24,CNN-BiLSTM,B,38042,8134,72,0.1998,32.89,55.51,45.3,1.388
Mumbai_suburbs,1,CNN-BiLSTM,B,15112,3221,71,0.6797,18.47,27.52,38.9,0.864
Mumbai_suburbs,6,CNN-BiLSTM,B,15109,3220,71,0.6483,20.07,28.83,33.8,0.909
Mumbai_suburbs,24,CNN-BiLSTM,B,15096,3217,71,0.4696,25.72,35.39,25.8,0.862
Nagpur,1,CNN-BiLSTM,B,56465,12082,70,0.798,19.63,29.53,137.2,1.763
Nagpur,6,CNN-BiLSTM,B,56461,12081,70,0.6576,26.21,38.44,97.8,1.781
Nagpur,24,CNN-BiLSTM,B,56449,12078,70,0.6239,28.44,40.29,79.0,1.79
Pune,1,CNN-BiLSTM,B,49301,10547,64,-0.3214,69.26,94.54,110.6,1.597
Pune,6,CNN-BiLSTM,B,49298,10545,64,-4.6833,142.48,196.08,73.0,1.66
Pune,24,CNN-BiLSTM,B,49285,10543,64,-18.2229,280.83,360.64,52.7,1.622
Singrauli,1,CNN-BiLSTM,B,48629,10403,64,0.6034,46.05,67.88,121.8,1.614
Singrauli,6,CNN-BiLSTM,B,48626,10401,64,0.4513,56.73,79.85,68.5,1.657
Singrauli,24,CNN-BiLSTM,B,48613,10399,64,0.4269,58.0,81.62,73.6,1.582
Surat,1,CNN-BiLSTM,B,18278,3899,58,0.2649,42.5,76.68,38.4,0.945
Surat,6,CNN-BiLSTM,B,18274,3898,58,0.2946,43.85,75.13,30.2,0.935
Surat,24,CNN-BiLSTM,B,18262,3895,58,0.1599,52.99,81.93,34.4,0.921
Thane,1,CNN-BiLSTM,B,14339,3055,71,0.7221,16.93,25.19,41.8,0.842
Thane,6,CNN-BiLSTM,B,14336,3054,71,0.6086,20.77,29.89,34.3,0.854
Thane,24,CNN-BiLSTM,B,14323,3052,71,0.5496,22.22,32.05,26.4,0.876
Vapi,1,CNN-BiLSTM,B,40774,8720,70,0.3908,42.14,59.76,72.7,1.435
Vapi,6,CNN-BiLSTM,B,40771,8719,70,0.3749,44.16,60.54,50.4,1.46
Vapi,24,CNN-BiLSTM,B,40758,8716,70,0.1589,51.72,70.23,54.3,1.422
bhopal,1,CNN-BiLSTM,B,30435,6504,72,0.7268,27.14,41.15,106.2,1.23
bhopal,6,CNN-BiLSTM,B,30432,6503,72,0.654,30.28,46.31,51.5,1.202
bhopal,24,CNN-BiLSTM,B,30419,6501,72,0.618,33.75,48.65,44.6,1.262
vishakhapattanam,1,CNN-BiLSTM,B,24205,5169,72,0.6888,30.3,47.81,63.0,1.057
vishakhapattanam,6,CNN-BiLSTM,B,24201,5168,72,0.5975,35.32,54.37,44.7,1.103
vishakhapattanam,24,CNN-BiLSTM,B,24189,5165,72,0.4622,41.23,62.87,31.0,1.105
